age,job,marital,education,balance,default,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
50,services,divorced,tertiary,1560,no,yes,no,cellular,26,sep,380,1,-1,0,unknown,yes
51,admin,married,primary,1570,no,no,yes,unknown,27,oct,385,2,-1,1,unknown,no
52,management,single,secondary,1580,no,yes,no,cellular,28,nov,390,3,-1,0,unknown,no
53,blue-collar,divorced,tertiary,1590,no,no,no,unknown,29,dec,395,4,-1,1,unknown,no
54,technician,married,primary,1600,no,yes,yes,cellular,30,jan,400,1,-1,0,unknown,yes
55,services,single,secondary,1610,no,no,no,unknown,31,feb,405,2,-1,1,unknown,no
25,admin,divorced,tertiary,1620,no,yes,no,cellular,1,mar,410,3,-1,0,unknown,no
26,management,married,primary,1630,no,no,yes,unknown,2,apr,415,4,-1,1,unknown,no
27,blue-collar,single,secondary,1640,no,yes,no,cellular,3,may,420,1,-1,0,unknown,yes
28,technician,divorced,tertiary,1650,no,no,no,unknown,4,jun,425,2,-1,1,unknown,no
29,services,married,primary,1660,no,yes,yes,cellular,5,jul,430,3,-1,0,unknown,no
30,admin,single,secondary,1670,no,no,no,unknown,6,aug,435,4,-1,1,unknown,no
31,management,divorced,tertiary,1680,no,yes,no,cellular,7,sep,440,1,-1,0,unknown,yes
32,blue-collar,married,primary,1690,no,no,yes,unknown,8,oct,445,2,-1,1,unknown,no
33,technician,single,secondary,1700,no,yes,no,cellular,9,nov,450,3,-1,0,unknown,no
34,services,divorced,tertiary,1710,no,no,no,unknown,10,dec,455,4,-1,1,unknown,no
35,admin,married,primary,1720,no,yes,yes,cellular,11,jan,460,1,-1,0,unknown,yes
36,management,single,secondary,1730,no,no,no,unknown,12,feb,465,2,-1,1,unknown,no
37,blue-collar,divorced,tertiary,1740,no,yes,no,cellular,13,mar,470,3,-1,0,unknown,no
38,technician,married,primary,1750,no,no,yes,unknown,14,apr,475,4,-1,1,unknown,no
39,services,single,secondary,1760,no,yes,no,cellular,15,may,480,1,-1,0,unknown,yes
40,admin,divorced,tertiary,1770,no,no,no,unknown,16,jun,485,2,-1,1,unknown,no
41,management,married,primary,1780,no,yes,yes,cellular,17,jul,490,3,-1,0,unknown,no
42,blue-collar,single,secondary,1790,no,no,no,unknown,18,aug,495,4,-1,1,unknown,no
43,technician,divorced,tertiary,1800,no,yes,no,cellular,19,sep,500,1,-1,0,unknown,yes
44,services,married,primary,1810,no,no,yes,unknown,20,oct,505,2,-1,1,unknown,no
45,admin,single,secondary,1820,no,yes,no,cellular,21,nov,510,3,-1,0,unknown,no
46,management,divorced,tertiary,1830,no,no,no,unknown,22,dec,515,4,-1,1,unknown,no
47,blue-collar,married,primary,1840,no,yes,yes,cellular,23,jan,520,1,-1,0,unknown,yes
48,technician,single,secondary,1850,no,no,no,unknown,24,feb,525,2,-1,1,unknown,no
49,services,divorced,tertiary,1860,no,yes,no,cellular,25,mar,530,3,-1,0,unknown,no
50,admin,married,primary,1870,no,no,yes,unknown,26,apr,535,4,-1,1,unknown,no
51,management,single,secondary,1880,no,yes,no,cellular,27,may,540,1,-1,0,unknown,yes
52,blue-collar,divorced,tertiary,1890,no,no,no,unknown,28,jun,545,2,-1,1,unknown,no
53,technician,married,primary,1900,no,yes,yes,cellular,29,jul,550,3,-1,0,unknown,no
54,services,single,secondary,1910,no,no,no,unknown,30,aug,555,4,-1,1,unknown,no
55,admin,divorced,tertiary,1920,no,yes,no,cellular,31,sep,560,1,-1,0,unknown,yes
25,management,married,primary,1930,no,no,yes,unknown,1,oct,565,2,-1,1,unknown,no
26,blue-collar,single,secondary,1940,no,yes,no,cellular,2,nov,570,3,-1,0,unknown,no
27,technician,divorced,tertiary,1950,no,no,no,unknown,3,dec,575,4,-1,1,unknown,no
28,services,married,primary,1960,no,yes,yes,cellular,4,jan,580,1,-1,0,unknown,yes
29,admin,single,secondary,1970,no,no,no,unknown,5,feb,585,2,-1,1,unknown,no
30,management,divorced,tertiary,1980,no,yes,no,cellular,6,mar,590,3,-1,0,unknown,no
31,blue-collar,married,primary,1990,no,no,yes,unknown,7,apr,595,4,-1,1,unknown,no
32,technician,single,secondary,2000,no,yes,no,cellular,8,may,600,1,-1,0,unknown,yes
33,services,divorced,tertiary,2010,no,no,no,unknown,9,jun,605,2,-1,1,unknown,no
34,admin,married,primary,2020,no,yes,yes,cellular,10,jul,610,3,-1,0,unknown,no
35,management,single,secondary,2030,no,no,no,unknown,11,aug,615,4,-1,1,unknown,no
36,blue-collar,divorced,tertiary,2040,no,yes,no,cellular,12,sep,620,1,-1,0,unknown,yes
37,technician,married,primary,2050,no,no,yes,unknown,13,oct,625,2,-1,1,unknown,no
38,services,single,secondary,2060,no,yes,no,cellular,14,nov,630,3,-1,0,unknown,no
39,admin,divorced,tertiary,2070,no,no,no,unknown,15,dec,635,4,-1,1,unknown,no
40,management,married,primary,2080,no,yes,yes,cellular,16,jan,640,1,-1,0,unknown,yes
41,blue-collar,single,secondary,2090,no,no,no,unknown,17,feb,645,2,-1,1,unknown,no
42,technician,divorced,tertiary,2100,no,yes,no,cellular,18,mar,650,3,-1,0,unknown,no
43,services,married,primary,2110,no,no,yes,unknown,19,apr,655,4,-1,1,unknown,no
44,admin,single,secondary,2120,no,yes,no,cellular,20,may,660,1,-1,0,unknown,yes
45,management,divorced,tertiary,2130,no,no,no,unknown,21,jun,665,2,-1,1,unknown,no
46,blue-collar,married,primary,2140,no,yes,yes,cellular,22,jul,670,3,-1,0,unknown,no
47,technician,single,secondary,2150,no,no,no,unknown,23,aug,675,4,-1,1,unknown,no
48,services,divorced,tertiary,2160,no,yes,no,cellular,24,sep,680,1,-1,0,unknown,yes
49,admin,married,primary,2170,no,no,yes,unknown,25,oct,685,2,-1,1,unknown,no
50,management,single,secondary,2180,no,yes,no,cellular,26,nov,690,3,-1,0,unknown,no
51,blue-collar,divorced,tertiary,2190,no,no,no,unknown,27,dec,695,4,-1,1,unknown,no
52,technician,married,primary,2200,no,yes,yes,cellular,28,jan,700,1,-1,0,unknown,yes
53,services,single,secondary,2210,no,no,no,unknown,29,feb,705,2,-1,1,unknown,no
54,admin,divorced,tertiary,2220,no,yes,no,cellular,30,mar,710,3,-1,0,unknown,no
55,management,married,primary,2230,no,no,yes,unknown,31,apr,715,4,-1,1,unknown,no
25,blue-collar,single,secondary,2240,no,yes,no,cellular,1,may,720,1,-1,0,unknown,yes
26,technician,divorced,tertiary,2250,no,no,no,unknown,2,jun,725,2,-1,1,unknown,no
27,services,married,primary,2260,no,yes,yes,cellular,3,jul,730,3,-1,0,unknown,no
28,admin,single,secondary,2270,no,no,no,unknown,4,aug,735,4,-1,1,unknown,no
29,management,divorced,tertiary,2280,no,yes,no,cellular,5,sep,740,1,-1,0,unknown,yes
30,blue-collar,married,primary,2290,no,no,yes,unknown,6,oct,745,2,-1,1,unknown,no
31,technician,single,secondary,2300,no,yes,no,cellular,7,nov,750,3,-1,0,unknown,no
32,services,divorced,tertiary,2310,no,no,no,unknown,8,dec,755,4,-1,1,unknown,no
33,admin,married,primary,2320,no,yes,yes,cellular,9,jan,760,1,-1,0,unknown,yes
34,management,single,secondary,2330,no,no,no,unknown,10,feb,765,2,-1,1,unknown,no
35,blue-collar,divorced,tertiary,2340,no,yes,no,cellular,11,mar,770,3,-1,0,unknown,no
36,technician,married,primary,2350,no,no,yes,unknown,12,apr,775,4,-1,1,unknown,no
37,services,single,secondary,2360,no,yes,no,cellular,13,may,780,1,-1,0,unknown,yes
38,admin,divorced,tertiary,2370,no,no,no,unknown,14,jun,785,2,-1,1,unknown,no
39,management,married,primary,2380,no,yes,yes,cellular,15,jul,790,3,-1,0,unknown,no
40,blue-collar,single,secondary,2390,no,no,no,unknown,16,aug,795,4,-1,1,unknown,no
41,technician,divorced,tertiary,2400,no,yes,no,cellular,17,sep,800,1,-1,0,unknown,yes
42,services,married,primary,2410,no,no,yes,unknown,18,oct,805,2,-1,1,unknown,no
43,admin,single,secondary,2420,no,yes,no,cellular,19,nov,810,3,-1,0,unknown,no
44,management,divorced,tertiary,2430,no,no,no,unknown,20,dec,815,4,-1,1,unknown,no
45,blue-collar,married,primary,2440,no,yes,yes,cellular,21,jan,820,1,-1,0,unknown,yes
46,technician,single,secondary,2450,no,no,no,unknown,22,feb,825,2,-1,1,unknown,no
47,services,divorced,tertiary,2460,no,yes,no,cellular,23,mar,830,3,-1,0,unknown,no
48,admin,married,primary,2470,no,no,yes,unknown,24,apr,835,4,-1,1,unknown,no
49,management,single,secondary,2480,no,yes,no,cellular,25,may,840,1,-1,0,unknown,yes
50,blue-collar,divorced,tertiary,2490,no,no,no,unknown,26,jun,845,2,-1,1,unknown,no
51,technician,married,primary,2500,no,yes,yes,cellular,27,jul,850,3,-1,0,unknown,no
52,services,single,secondary,2510,no,no,no,unknown,28,aug,855,4,-1,1,unknown,no
53,admin,divorced,tertiary,2520,no,yes,no,cellular,29,sep,860,1,-1,0,unknown,yes
54,management,married,primary,2530,no,no,yes,unknown,30,oct,865,2,-1,1,unknown,no
55,blue-collar,single,secondary,2540,no,yes,no,cellular,31,nov,870,3,-1,0,unknown,no
25,technician,divorced,tertiary,2550,no,no,no,unknown,1,dec,875,4,-1,1,unknown,no
26,services,married,primary,2560,no,yes,yes,cellular,2,jan,880,1,-1,0,unknown,yes
27,admin,single,secondary,2570,no,no,no,unknown,3,feb,885,2,-1,1,unknown,no
28,management,divorced,tertiary,2580,no,yes,no,cellular,4,mar,890,3,-1,0,unknown,no
29,blue-collar,married,primary,2590,no,no,yes,unknown,5,apr,895,4,-1,1,unknown,no
30,technician,single,secondary,2600,no,yes,no,cellular,6,may,900,1,-1,0,unknown,yes
31,services,divorced,tertiary,2610,no,no,no,unknown,7,jun,905,2,-1,1,unknown,no
32,admin,married,primary,2620,no,yes,yes,cellular,8,jul,910,3,-1,0,unknown,no
33,management,single,secondary,2630,no,no,no,unknown,9,aug,915,4,-1,1,unknown,no
34,blue-collar,divorced,tertiary,2640,no,yes,no,cellular,10,sep,920,1,-1,0,unknown,yes
35,technician,married,primary,2650,no,no,yes,unknown,11,oct,925,2,-1,1,unknown,no
36,services,single,secondary,2660,no,yes,no,cellular,12,nov,930,3,-1,0,unknown,no
37,admin,divorced,tertiary,2670,no,no,no,unknown,13,dec,935,4,-1,1,unknown,no
38,management,married,primary,2680,no,yes,yes,cellular,14,jan,940,1,-1,0,unknown,yes
39,blue-collar,single,secondary,2690,no,no,no,unknown,15,feb,945,2,-1,1,unknown,no
40,technician,divorced,tertiary,2700,no,yes,no,cellular,16,mar,950,3,-1,0,unknown,no
41,services,married,primary,2710,no,no,yes,unknown,17,apr,955,4,-1,1,unknown,no
42,admin,single,secondary,2720,no,yes,no,cellular,18,may,960,1,-1,0,unknown,yes
43,management,divorced,tertiary,2730,no,no,no,unknown,19,jun,965,2,-1,1,unknown,no
44,blue-collar,married,primary,2740,no,yes,yes,cellular,20,jul,970,3,-1,0,unknown,no
45,technician,single,secondary,2750,no,no,no,unknown,21,aug,975,4,-1,1,unknown,no
46,services,divorced,tertiary,2760,no,yes,no,cellular,22,sep,980,1,-1,0,unknown,yes
47,admin,married,primary,2770,no,no,yes,unknown,23,oct,985,2,-1,1,unknown,no
48,management,single,secondary,2780,no,yes,no,cellular,24,nov,990,3,-1,0,unknown,no
49,blue-collar,divorced,tertiary,2790,no,no,no,unknown,25,dec,995,4,-1,1,unknown,no
50,technician,married,primary,2800,no,yes,yes,cellular,26,jan,1000,1,-1,0,unknown,yes
51,services,single,secondary,2810,no,no,no,unknown,27,feb,1005,2,-1,1,unknown,no
52,admin,divorced,tertiary,2820,no,yes,no,cellular,28,mar,1010,3,-1,0,unknown,no
53,management,married,primary,2830,no,no,yes,unknown,29,apr,1015,4,-1,1,unknown,no
54,blue-collar,single,secondary,2840,no,yes,no,cellular,30,may,1020,1,-1,0,unknown,yes
55,technician,divorced,tertiary,2850,no,no,no,unknown,31,jun,1025,2,-1,1,unknown,no
25,services,married,primary,2860,no,yes,yes,cellular,1,jul,1030,3,-1,0,unknown,no
26,admin,single,secondary,2870,no,no,no,unknown,2,aug,1035,4,-1,1,unknown,no
27,management,divorced,tertiary,2880,no,yes,no,cellular,3,sep,1040,1,-1,0,unknown,yes
28,blue-collar,married,primary,2890,no,no,yes,unknown,4,oct,1045,2,-1,1,unknown,no
29,technician,single,secondary,2900,no,yes,no,cellular,5,nov,1050,3,-1,0,unknown,no
30,services,divorced,tertiary,2910,no,no,no,unknown,6,dec,1055,4,-1,1,unknown,no
31,admin,married,primary,2920,no,yes,yes,cellular,7,jan,1060,1,-1,0,unknown,yes
32,management,single,secondary,2930,no,no,no,unknown,8,feb,1065,2,-1,1,unknown,no
33,blue-collar,divorced,tertiary,2940,no,yes,no,cellular,9,mar,1070,3,-1,0,unknown,no
34,technician,married,primary,2950,no,no,yes,unknown,10,apr,1075,4,-1,1,unknown,no
35,services,single,secondary,2960,no,yes,no,cellular,11,may,1080,1,-1,0,unknown,yes
36,admin,divorced,tertiary,2970,no,no,no,unknown,12,jun,1085,2,-1,1,unknown,no
37,management,married,primary,2980,no,yes,yes,cellular,13,jul,1090,3,-1,0,unknown,no
38,blue-collar,single,secondary,2990,no,no,no,unknown,14,aug,1095,4,-1,1,unknown,no
39,technician,divorced,tertiary,3000,no,yes,no,cellular,15,sep,1100,1,-1,0,unknown,yes
